title,company,location,salary,tech_tags,requirements,source,job_url,source_url,role_type,notes
2026 AI/ML Intern - Machine Learning Engineer,Adobe,"San Jose, CA",,AI/ML; Machine Learning; Internship,Internship role observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Internship,Exact posting page opened.
"AI/ML Engineer Intern, Master's - Summer 2026 (Mountain View, CA)",LinkedIn,"Mountain View, CA",,AI/ML; Internship; Engineering,Internship role observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,Internship,Exact posting page opened.
"AI/ML Engineer Intern – Generative AI, PhD – Summer 2026 (Mountain View, CA)",LinkedIn,"Mountain View, CA",,Generative AI; AI/ML; Internship,PhD-focused generative AI internship observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Internship,Exact posting page opened.
Artificial Intelligence/Machine Learning - Summer 2026 Intern (US Person Required),Honeywell,United States,,Artificial Intelligence; Machine Learning; Internship,Summer 2026 AI/ML internship observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,Internship,Exact posting page opened.
Machine Learning Engineer Intern,Lensa,"Oakland, CA",,Machine Learning; Internship,Machine learning engineering internship observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-lensa-4386586356,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-lensa-4386586356,Internship,Exact posting page opened.
Machine Learning Engineer Summer Internship,adMarketplace,"New York, United States",,Machine Learning; ML Pipelines; Internship,Posting says interns help design production-grade ML systems and scalable ML pipelines.,LinkedIn,https://www.linkedin.com/jobs/view/machine-learning-engineer-summer-internship-at-admarketplace-4373620094,https://www.linkedin.com/jobs/view/machine-learning-engineer-summer-internship-at-admarketplace-4373620094,Internship,Exact posting page opened.
Summer Internship - Machine Learning Engineer,webAI,"Austin, TX",,Machine Learning; Data Pipelines; Internship,"Posting says interns develop machine learning models, data pipelines, and analytical solutions.",LinkedIn,https://www.linkedin.com/jobs/view/summer-internship-machine-learning-engineer-at-webai-4373727481,https://www.linkedin.com/jobs/view/summer-internship-machine-learning-engineer-at-webai-4373727481,Internship,Exact posting page opened.
AI Engineering Intern — AIMS,Modern Amenities,"Coburg, OR",$18/hour,AI Agents; Marketing AI; Internship,"Indeed posting says intern helps build AI agents, dashboards, and transcript-analysis tools.",Indeed,,https://www.indeed.com/jobs?grp=tcl&jcid=e8b9cf688abd98f9&jtid=e49ea3da5f600fb3&limit=20&nl=&q=machine+learning+internship,Internship,Observed on Indeed results/detail page; exact standalone URL not exposed in snippet.
AI Engineer Intern,ONE TECH STOP PTE. LTD.,Singapore 018936,,AI Engineering; Multi-modal Data; Internship,Indeed SG listing mentions multi-modal data (audio and video) and 6-month full-time internship.,Indeed,,https://sg.indeed.com/jobs?q=internship+ai+data+science&sc=0kf%3Ajt%28internship%29%3B,Internship,Observed on Indeed Singapore search page.
Intern: Computer Vision Scene and Activity Understanding,Conxai Technologies GmbH,"Gurugram, Haryana","₹40,000/month",Computer Vision; Deep Learning; Internship,Indeed India listing says intern tackles computer vision and deep learning challenges in product development.,Indeed,,https://in.indeed.com/jobs?grp=tcl&jcid=a7934010a6de4282&jtid=938bdfa277f7cd8e&limit=20&q=ai+ml+intern&rbt=,Internship,Observed on Indeed India search/detail page.
AI Algorithm Engineer Intern (TikTok Search) - 2026 Start (BS/MS),TikTok,Singapore,,Algorithms; Python; AI Search; Internship,Indeed SG snippet mentions C++/Python and strong data/algorithm foundations for TikTok Search.,Indeed,,https://sg.indeed.com/jobs?q=internship+ai+data+science&sc=0kf%3Ajt%28internship%29%3B,Internship,Observed in search snippet; detail page not opened.
"AI Engineer Intern (Data Management Suite, Data Ingestion) - 2026 Start (BS/MS)",ByteDance,Singapore 048583,,AI Engineering; Data Ingestion; Internship,Indeed SG snippet names ByteDance role focused on data management suite and data ingestion.,Indeed,,https://sg.indeed.com/jobs?grp=tcl&jcid=93caf91632306857&jtid=df11ead697cc7098&limit=20&q=legal+ai,Internship,Observed in search snippet; detail page not opened.
"Software Engineer Intern, AI/LLM Initiative",WorldQuant,Singapore,,AI/LLM; Software Engineering; Internship,Indeed SG snippet names AI/LLM initiative internship.,Indeed,,https://sg.indeed.com/jobs?q=internship+ai+data+science&sc=0kf%3Ajt%28internship%29%3B,Internship,Observed in search snippet; detail page not opened.
"Software Engineer Intern (TikTok Application Computing, Data + AI) - 2026 Start (BS/MS)",TikTok,Singapore,,Data + AI; Algorithms; Internship,"Indeed SG snippet highlights application computing, data + AI, and CS fundamentals.",Indeed,,https://sg.indeed.com/jobs?q=internship+ai+data+science&sc=0kf%3Ajt%28internship%29%3B,Internship,Observed in search snippet; detail page not opened.
Artificial Intelligence (AI) Intern,Strides Digital,Singapore,,Artificial Intelligence; Data Repositories; Internship,Indeed SG snippet mentions managing data repositories and documenting data sources/methodologies.,Indeed,,https://sg.indeed.com/jobs?q=internship+ai+data+science&sc=0kf%3Ajt%28internship%29%3B,Internship,Observed in search snippet; detail page not opened.
Data/Ai Engineer Intern,Jade Global,"Ogden, UT",Pay information not provided,Data; AI; Internship,Indeed US snippet mentions analyzing complex data using AI tools and frameworks.,Indeed,,https://www.indeed.com/jobs?l=UT&q=data+science+intern,Internship,Observed in search snippet; detail page not opened.
Machine Learning Data Scientist Intern,"Mitchell International, Inc.",United States,,Machine Learning; Data Science; Internship,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/machine-learning-unpaid-internship-at-side-quest-4228539511,Internship,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer Intern,Tinder,"Palo Alto, CA",$47/hour,Machine Learning; Internship,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,Internship,Observed in similar jobs section; exact job URL not exposed.
AI/ML Engineer (Recent Grad),Nightfall AI,"Palo Alto, CA",,AI/ML; Recent Grad,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,New Grad,Observed in similar jobs section; exact job URL not exposed.
AI Machine Learning Engineer I (Intern) - United States,Cisco,"San Jose, CA",,AI; Machine Learning; Internship,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,Internship,Observed in similar jobs section; exact job URL not exposed.
ML-AI Engineering Intern,Tech Economy,"San Francisco, CA",,ML/AI; Engineering; Internship,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Internship,Observed in similar jobs section; exact job URL not exposed.
ML-AI Engineering Intern,Bain & Company,"San Francisco, CA",,ML/AI; Engineering; Internship,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Internship,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer Intern,Transcarent,United States,,Machine Learning; Internship,Observed in LinkedIn people-also-viewed section.,LinkedIn,,https://www.linkedin.com/jobs/view/machine-learning-unpaid-internship-at-side-quest-4228539511,Internship,Observed in people-also-viewed section; exact job URL not exposed.
"Software Engineer, Artificial Intelligence",DataVisor,"Mountain View, CA","$130,000-$250,000",Artificial Intelligence; Software Engineering,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,Adobe,"San Jose, CA","$125,600-$234,150",Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,Cisco,"Milpitas, CA","$155,900-$214,100",Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer- GenAI,Apple,"Cupertino, CA","$147,400-$272,100",Machine Learning; GenAI,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,Apple,"Cupertino, CA","$147,400-$272,100",Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning - Data Scientist,Apple,"Sunnyvale, CA","$132,100-$244,600",Machine Learning; Data Science,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in similar jobs section; exact job URL not exposed.
"Software Engineer, AI Platform - New Grad",Nuro,"Mountain View, CA",,AI Platform; New Grad,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,New Grad,Observed in similar jobs section; exact job URL not exposed.
"Machine Learning Engineer - Data, Productivity Apps",Apple,"Cupertino, CA","$147,400-$272,100",Machine Learning; Productivity Apps,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer - MLR,Apple,"Cupertino, CA",,Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer – Computer Vision & Data Systems,Apple,"Sunnyvale, CA","$181,100-$318,400",Machine Learning; Computer Vision; Data Systems,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Full-time,Observed in similar jobs section; exact job URL not exposed.
AI/ML Engineer,Brain Co.,San Francisco Bay Area,,AI/ML,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in similar jobs section; exact job URL not exposed.
"Machine Learning Engineer, (Applied Machine Learning), AI & Data Platforms (AiDP)",Apple,"Sunnyvale, CA",,Applied Machine Learning; AI Platforms,Observed in LinkedIn people-also-viewed section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in people-also-viewed section; exact job URL not exposed.
"Machine Learning Engineer - LLM, AI & Robotics",XPENG,"Santa Clara, CA","$148,909-$252,000",Machine Learning; LLM; Robotics,Observed in LinkedIn people-also-viewed section.,LinkedIn,,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Full-time,Observed in people-also-viewed section; exact job URL not exposed.
AI/ML Computer Vision Algorithm Engineer,Apple,"Cupertino, CA",,AI/ML; Computer Vision; Algorithms,Observed in LinkedIn people-also-viewed section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Full-time,Observed in people-also-viewed section; exact job URL not exposed.
"Software Engineer, AI/ML, Workspace",Google,"Sunnyvale, CA",,AI/ML; Workspace,Observed in LinkedIn people-also-viewed section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Full-time,Observed in people-also-viewed section; exact job URL not exposed.
AI Developer,Bridge Partners,United States,$55-$75/hour,AI Development,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,Contract/Hourly,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer / Data Scientist,Fusemachines,"New York, NY",,Machine Learning; Data Science,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,Full-time,Observed in similar jobs section; exact job URL not exposed.
Research Engineer 4/5 – AI for Member Systems,Netflix,United States,"$466,000-$750,000",AI Research; Member Systems,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,Full-time,Observed in similar jobs section; exact job URL not exposed.
ML/AI Engineer,Rillet,"San Francisco, CA",,ML/AI,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,Kiddom,"San Francisco, CA","$200,000-$300,000",Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,Onyx AI,"San Francisco, CA","$150,000-$250,000",Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,OSARO,"San Francisco, CA","$140,000-$180,000",Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,krea.ai,"San Francisco, CA",,Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
ML Engineer - Personalization & Recommendation Systems,krea.ai,"San Francisco, CA",,Machine Learning; Recommendation Systems,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
"Machine Learning Engineer II, Search",Sony Interactive Entertainment,"San Mateo, CA",,Machine Learning; Search,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
"Machine Learning Engineer — Large Language Models, Generative AI & Agentic Systems",Apple,"San Francisco, CA",,Machine Learning; LLM; Generative AI; Agentic Systems,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
Machine Learning Engineer,Canals,"San Francisco, CA",,Machine Learning,Observed in LinkedIn similar jobs section.,LinkedIn,,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321,Full-time,Observed in similar jobs section; exact job URL not exposed.
